ID,bug_line,explanation
16,1,HF Router API error.
32,1,HF Router API error.
25,1,HF Router API error.
10,1,HF Router API error.
26,1,HF Router API error.
23,1,HF Router API error.
4,1,HF Router API error.
31,1,HF Router API error.
17,1,HF Router API error.
27,1,HF Router API error.
24,1,HF Router API error.
14,1,HF Router API error.
9,1,HF Router API error.
13,1,HF Router API error.
22,1,HF Router API error.
29,1,HF Router API error.
2,1,HF Router API error.
20,1,HF Router API error.
11,1,HF Router API error.
3,1,HF Router API error.
